Date,open,high,low,close,volume
2016-07-11,652.9050490687271,659.5217322141177,650.5769095598318,658.085205078125,6873543
2016-07-12,658.1847273794415,659.9360302959565,656.0926855973863,657.5869750976562,9596125
2016-07-13,656.8897268721873,661.2729398464144,655.5946272543395,656.5908203125,5170067
2016-07-14,661.4722439803824,664.0623218194249,654.5736186566597,655.6943359375,14689307
2016-07-15,655.0965885840147,656.9893798828125,651.4605200822671,656.9893798828125,8402359
2016-07-18,659.1811489871739,661.4723815216403,657.6868589686761,659.57958984375,7731748
2016-07-19,658.4836652588629,661.0737431006354,656.2671598444308,659.4798583984375,4448571
2016-07-20,662.3687391949497,663.5392537902591,644.437265488033,662.9664306640625,5458579
2016-07-21,662.0699797696976,663.3650795785376,659.6791525592097,659.7787475585938,3149998
2016-07-22,659.3802673500064,663.3650399321419,656.8897844861717,662.866943359375,3992735
2016-07-25,662.4684107420403,665.493836536296,658.9319374016469,660.97412109375,2914819
2016-07-26,661.9703659033216,664.2615980491225,660.9741727266425,662.1696166992188,2573591
2016-07-27,664.3612607359559,667.4932741182745,663.5085013702472,665.158203125,3374272
2016-07-28,663.9628811755229,666.1545187503193,661.372802734375,661.372802734375,4368659
2016-07-29,662.1697354091132,664.1621221196549,659.1811553433006,662.5681762695312,5026747
2016-08-01,666.1543500642302,666.6524466231533,658.1280153038306,659.3802490234375,4289173
2016-08-02,658.8824683474645,659.0119783790988,653.2041526928703,654.3995971679688,16016846
2016-08-03,656.6907610172724,657.188857762461,650.21550332982,653.5029296875,3230625
2016-08-04,654.7979278686195,665.7560555733525,650.4147132684192,664.1621704101562,7997213
2016-08-05,665.1582373144468,670.8365509328149,659.162168211283,670.4380493164062,6986696
2016-08-08,670.8365414679555,673.4764170302842,668.7863315481969,671.6334838867188,2823708
2016-08-09,672.23113270026,676.6144069285955,671.5089169798525,675.1201171875,3472478
2016-08-10,673.1277007116904,677.0128173828125,672.3805558746127,677.0128173828125,6509525
2016-08-11,677.5109809957169,685.8790283203125,675.7676428699934,685.8790283203125,6042408
2016-08-12,684.4843078510138,687.1740415904789,683.6873654696777,685.2813110351562,3073311
2016-08-15,686.0784602802383,689.6647324789733,685.3452390187596,687.97119140625,2346212
2016-08-16,685.6797063800846,687.9709383756239,683.2888793945312,683.2888793945312,3639311
2016-08-17,685.5802125450265,686.0424355155981,679.104956365865,680.2007446289062,3171713
2016-08-18,683.2889789009532,684.3100405070992,680.0334139883189,682.2927856445312,2576817
2016-08-19,681.4958417263621,682.0636792282944,679.2046091976852,680.5993041992188,2745522
2016-08-22,680.6986443126566,683.4879724683938,676.1161809712879,678.0089111328125,1834021
2016-08-23,680.4000325568419,683.587863317964,677.0628092805074,681.296630859375,2912098
