arm,long_thr,exit_thr,n_symbols,mean_sharpe,mean_return,median_sharpe,mean_dd,mean_n_trades
risk_long_inv,-35.0,-45.0,6,0.17319085774230233,0.01013283470348264,0.2768738014845529,-0.018827804793263236,2.8333333333333335
risk_long_inv,-35.0,-55.0,6,0.17319085774230233,0.01013283470348264,0.2768738014845529,-0.018827804793263236,2.8333333333333335
risk_long_inv,-35.0,-65.0,6,0.17319085774230233,0.01013283470348264,0.2768738014845529,-0.018827804793263236,2.8333333333333335
trend_long,45.0,35.0,6,0.0560150931349154,0.006005346850358806,-0.03748962692821543,-0.07641019007462736,36.5
vol_long_dir,45.0,35.0,6,0.04024096097394344,0.009123550838871527,0.03566767044105584,-0.06979066592238203,34.833333333333336
risk_long_inv,-45.0,-55.0,6,0.031681945698430386,0.0011910751012083425,0.024869786155145176,-0.00837425338411992,1.0
risk_long_inv,-45.0,-65.0,6,0.031681945698430386,0.0011910751012083425,0.024869786155145176,-0.00837425338411992,1.0
risk_long_inv,-55.0,-65.0,6,0.031681945698430386,0.0011910751012083425,0.024869786155145176,-0.00837425338411992,1.0
confidence_long,45.0,35.0,6,0.0054944220143496965,0.0011945511065450387,-0.05776529833846015,-0.0979380435672191,57.833333333333336
risk_long_dir,55.0,45.0,6,0.0,0.0,0.0,0.0,0.0
risk_long_dir,65.0,55.0,6,0.0,0.0,0.0,0.0,0.0
risk_long_dir,65.0,45.0,6,0.0,0.0,0.0,0.0,0.0
risk_long_dir,65.0,35.0,6,0.0,0.0,0.0,0.0,0.0
risk_long_dir,45.0,35.0,6,0.0,0.0,0.0,0.0,0.0
risk_long_dir,55.0,35.0,6,0.0,0.0,0.0,0.0,0.0
structure_long,65.0,35.0,6,0.0,0.0,0.0,0.0,0.0
structure_long,65.0,55.0,6,0.0,0.0,0.0,0.0,0.0
structure_long,65.0,45.0,6,0.0,0.0,0.0,0.0,0.0
vol_long_inv,-45.0,-65.0,6,-0.04768935338083447,-0.008951660110370999,-0.11095683568335221,-0.05532190157894882,32.0
vol_long_inv,-45.0,-55.0,6,-0.04768935338083447,-0.008951660110370999,-0.11095683568335221,-0.05532190157894882,32.0
vol_long_inv,-35.0,-65.0,6,-0.04768935338083447,-0.008951660110370999,-0.11095683568335221,-0.05532190157894882,32.0
vol_long_inv,-35.0,-55.0,6,-0.04768935338083447,-0.008951660110370999,-0.11095683568335221,-0.05532190157894882,32.0
trend_long,55.0,45.0,6,-0.0484924870361557,-0.015520086246720669,-0.1620179965706714,-0.09702107110897094,43.833333333333336
trend_long,55.0,35.0,6,-0.05432751818035072,-0.0166026862175133,-0.1793639380919213,-0.09650323882060462,41.666666666666664
momentum_long,45.0,35.0,6,-0.075575328941056,-0.03188230411506737,-0.12191236283638077,-0.12683546841646912,144.66666666666666
vol_long_inv,-35.0,-45.0,6,-0.12463214798071535,-0.019928685256624,-0.15436005921500007,-0.05669538002560581,32.0
vol_long_inv,-55.0,-65.0,6,-0.14417145884653618,-0.0249663522244646,-0.0485769590209389,-0.0544337085503838,35.833333333333336
structure_long,45.0,35.0,6,-0.16853516126007065,-0.062168892545858466,-0.2592509900936195,-0.1698420361019927,96.83333333333333
trend_long,65.0,55.0,6,-0.17633882950348623,-0.04194859564418355,-0.26122575380083635,-0.10252884072055152,46.5
