arm,n_symbols,mean_return,median_return,mean_sharpe,median_sharpe,mean_dd,mean_n_trades,pct_positive,pct_pos_sharpe
risk_long_inv,6,0.005661954902345491,0.005595778679765129,0.10243640172036635,0.16912467190033445,-0.013601029088691577,1.9166666666666667,0.5833333333333334,0.5833333333333334
risk_long_dir,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vol_long_inv,6,-0.0134502796537621,-0.015254665876689055,-0.0765935033917649,-0.09168016727618801,-0.05540278248196415,32.638888888888886,0.3333333333333333,0.3611111111111111
trend_long,6,-0.02611538910924221,-0.03873401944050753,-0.09810727356668575,-0.15649834963755901,-0.09744518852108812,42.55555555555556,0.2777777777777778,0.2777777777777778
vol_long_dir,6,-0.08183318597941908,-0.07133203453481052,-0.28544945016005624,-0.2298015139280738,-0.14598301523588894,58.416666666666664,0.08333333333333333,0.08333333333333333
structure_long,6,-0.10236425929931474,0.0,-0.307524055112611,0.0,-0.12740177414514828,53.72222222222222,0.05555555555555555,0.05555555555555555
momentum_long,6,-0.1183291902933494,-0.12660218007820379,-0.32503107483159205,-0.3307642568073581,-0.17813941079737505,140.97222222222223,0.08333333333333333,0.08333333333333333
confidence_long,6,-0.1251615411011472,-0.15018854706631107,-0.40988555687034256,-0.5188549945015704,-0.18126934901765798,81.69444444444444,0.16666666666666666,0.19444444444444445
