symbol,arm,n_trades,total_return,cagr,sharpe,sortino,max_dd,max_dd_duration,win_rate,profit_factor,avg_trade_pnl,expectancy,pct_time_in_market,best_trade,worst_trade
UK100,trend_long,54,-0.12086689967168662,-0.012774097993888178,-0.5131087546690275,-0.2996831241526895,-0.16274831587620908,2309,0.35185185185185186,0.5522741774676717,-22.382759198460477,-22.382759198460477,0.21108910891089108,284.4126519172342,-174.93612861204298
UK100,structure_long,123,-0.22729596713582145,-0.02540653826702355,-0.665162316098712,-0.5160893219000019,-0.28221281636280016,2492,0.36585365853658536,0.5319883314641207,-18.479346921611516,-18.479346921611516,0.32673267326732675,230.90134682410218,-150.66186513695732
UK100,momentum_long,129,-0.16489371002880648,-0.017823198385335526,-0.45538283808543323,-0.42178137408600486,-0.23287386228249118,2393,0.32558139534883723,0.6867292014563404,-12.78245814176796,-12.78245814176796,0.44633663366336634,400.4228348629167,-169.17748301956283
UK100,confidence_long,94,-0.24489017119743706,-0.02764429029185622,-0.8193008906407648,-0.6207252158777605,-0.26221374602328906,2498,0.2553191489361702,0.4629480853361354,-26.05214587206778,-26.05214587206778,0.3457425742574257,272.6475229670819,-175.80410771236882
UK100,vol_long,65,-0.2180599288020444,-0.02425013308623214,-0.8099204004875395,-0.4410186926172933,-0.2444155788100234,2309,0.2923076923076923,0.3628503658276819,-33.54768135416066,-33.54768135416066,0.18653465346534653,145.63622597581906,-167.27631642854018
UK100,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAX40,trend_long,32,0.0834269957671554,0.007990981803672748,0.4095943760980764,0.2106901693239064,-0.04079207310781219,803,0.5,1.7006058364302739,26.070936177236085,26.070936177236085,0.14938904217579818,336.1719243855515,-179.24773721196445
DAX40,structure_long,111,-0.15349813284919833,-0.016416380747948933,-0.4283848633775992,-0.32253354320638256,-0.17112559110765424,1693,0.3783783783783784,0.6834326910198155,-13.828660617044894,-13.828660617044894,0.31336223886480097,378.7446506000446,-171.00103425498506
DAX40,momentum_long,140,-0.2050483071361221,-0.022535814295227663,-0.5720454612055299,-0.520750114612935,-0.22863896241555004,2375,0.29285714285714287,0.6441686359252708,-14.64630765258015,-14.64630765258015,0.47378793851005124,408.1051000802743,-150.10136401518125
DAX40,confidence_long,76,0.01573976441806102,0.0015524569092284501,0.06423488284421286,0.048268481994105536,-0.0666055067993836,1551,0.40789473684210525,1.0482973291184925,2.0710216339553944,2.0710216339553944,0.32715806070161607,357.00348929569554,-189.4332294791841
DAX40,vol_long,60,-0.06332575318797518,-0.006477067425041727,-0.21389834004261057,-0.12314113791708688,-0.12692225093937504,2375,0.3333333333333333,0.8027846933685003,-10.554292197995853,-10.554292197995853,0.22073314938904218,372.92287318582834,-210.09072327165123
DAX40,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAC40,trend_long,39,-0.04364185812473553,-0.004384633743551469,-0.22226331544780453,-0.11847805614327438,-0.07970627183103052,1739,0.358974358974359,0.7546825138470473,-11.19022003198348,-11.19022003198348,0.17116060961313012,241.62322653662378,-149.89894152894817
CAC40,structure_long,104,-0.28868935393910033,-0.03298903780332829,-0.9207922788903181,-0.6680978346465717,-0.30312245176523334,2515,0.3173076923076923,0.4689649326602905,-27.758591724913494,-27.758591724913494,0.33411488862837047,263.0983081158707,-181.7577793306486
CAC40,momentum_long,138,-0.17043680284601925,-0.018232562337172298,-0.453623983100311,-0.43210117021899835,-0.19342164199110923,2347,0.2971014492753623,0.7256969011450816,-12.350492959856467,-12.350492959856467,0.5142633841344275,320.9604519365071,-184.12209285789945
CAC40,confidence_long,86,-0.16937988334485943,-0.01810945554161303,-0.5493891243956772,-0.42759381879883385,-0.20109802836056445,2347,0.32558139534883723,0.6443390526393207,-19.695335272658063,-19.695335272658063,0.3474013286440016,350.56623185122726,-188.19832499022627
CAC40,vol_long,61,-0.11558396877530763,-0.012022719454127362,-0.4024071729613686,-0.24039870068908226,-0.15686947660384065,2424,0.32786885245901637,0.671176520049999,-18.94819160250943,-18.94819160250943,0.2024228214146151,409.15390027698663,-201.76492457089918
CAC40,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBEX35,trend_long,41,0.02899473274964981,0.0028219512186233864,0.14077996821969113,0.08126190497648242,-0.098750246429677,2115,0.43902439024390244,1.207513557969337,7.071886036499956,7.071886036499956,0.16392801251956182,322.008640488709,-176.92097200689062
IBEX35,structure_long,120,-0.34313962757876904,-0.04058967839951966,-1.1194915049417928,-0.8061100594186841,-0.35801153199105606,2511,0.31666666666666665,0.3816820151232627,-28.59496896489743,-28.59496896489743,0.29107981220657275,313.12422140527536,-189.82379969625867
IBEX35,momentum_long,135,-0.18997049579026604,-0.020557475591281293,-0.49638670635850285,-0.4557597946513878,-0.2411530402633668,2345,0.3111111111111111,0.6646497294692782,-14.071888577056749,-14.071888577056749,0.4706572769953052,339.0288673041261,-261.00340939046714
IBEX35,confidence_long,73,-0.17443411845661994,-0.01872118086465213,-0.6216501034429361,-0.4203865198396704,-0.1918435380610629,2542,0.3287671232876712,0.47187165068583986,-23.89508472008492,-23.89508472008492,0.26956181533646323,270.6324986641163,-169.2885003213885
IBEX35,vol_long,63,-0.07133203453481052,-0.007269618032718972,-0.2298015139280738,-0.1521753693917163,-0.15709873959280107,2345,0.3492063492063492,0.795086668697047,-11.322545164255644,-11.322545164255644,0.21009389671361503,403.8471552188306,-176.58403498424195
IBEX35,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
