arm,mean_return,median_return,std_return,mean_sharpe,median_sharpe,mean_max_dd,median_max_dd,mean_n_trades,mean_win_rate,mean_pf,pct_profitable
risk_long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trend_long,-0.023645374996951612,-0.02988469348186984,0.07300014735786978,-0.0939873999219899,-0.14423722461652552,-0.09780111845228552,-0.09540680477053287,41.666666666666664,0.40691954462279667,0.9608934806752791,0.3333333333333333
vol_long,-0.10159443308799465,-0.09345800165505908,0.06888816150042622,-0.3563287237286557,-0.31610434344472116,-0.16273612310661126,-0.15698410809832086,63.0,0.35545107376176316,0.6980829549765463,0.0
momentum_long,-0.170379143036004,-0.18020364931814264,0.057157112250106085,-0.46290486153986415,-0.475884772221968,-0.21724685163855928,-0.2307564123490206,133.16666666666666,0.32523630834612705,0.6965037690206307,0.0
confidence_long,-0.1568365527673998,-0.17190700090073968,0.1129297286551605,-0.5104480651115516,-0.5855196139193066,-0.19477134855910172,-0.19647078321081368,83.0,0.3345297226893298,0.6354517756405614,0.16666666666666666
structure_long,-0.2710233424226534,-0.2872358937987031,0.07024399677725691,-0.8435300258280233,-0.8888678282748063,-0.2906662945455573,-0.2981370936753701,114.5,0.3374432475223623,0.4839752637454606,0.0
