arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,50.0,30.0,UK100,2,7,-0.026958340312998597,-0.7323153008281811,-0.029334136909059283
trend_long,50.0,30.0,UK100,1,14,-0.06354592845394602,-1.1082506777062324,-0.06423252161087589
trend_long,50.0,30.0,UK100,0,11,0.02303795729906688,0.48911789786184456,-0.033132560627942675
trend_long,50.0,30.0,UK100,3,15,-0.025397370862663582,-0.3266583345396734,-0.06534951975024217
trend_long,50.0,30.0,DAX40,0,7,-0.0011407181888060114,-0.02201395929402853,-0.03819751669559146
trend_long,50.0,30.0,DAX40,2,6,0.02438130365779201,0.5828429151993726,-0.019157057359805663
trend_long,50.0,30.0,DAX40,1,9,0.0018404309958270915,0.047028123551496485,-0.03834476184150337
trend_long,50.0,30.0,CAC40,2,5,-0.019740419967208434,-0.839758395933161,-0.02597860001706298
trend_long,50.0,30.0,CAC40,1,8,0.006168838237096352,0.13882646739981783,-0.03416270893214579
trend_long,50.0,30.0,CAC40,0,6,0.020864694953332208,0.528007715417982,-0.028305337367364958
trend_long,50.0,30.0,DAX40,3,8,0.06586549361915917,1.2027672909631815,-0.01741121661206757
trend_long,50.0,30.0,IBEX35,1,9,-0.04508106776292464,-1.1972828644809717,-0.0492438281115386
trend_long,50.0,30.0,IBEX35,0,10,-0.025296043752955355,-0.47317615420729603,-0.053122242274982856
trend_long,50.0,30.0,IBEX35,2,9,-0.013915313205492885,-0.3092900521905941,-0.03220044880103268
trend_long,50.0,30.0,CAC40,3,17,-0.018665247259642803,-0.201157157493303,-0.042907722529346604
trend_long,50.0,30.0,IBEX35,3,8,0.05046556078703168,0.8678905597589404,-0.025293433773754814
trend_long,50.0,30.0,FTSE250,0,7,0.02704348064564832,0.7212472509615319,-0.020422576813849624
trend_long,50.0,30.0,FTSE250,1,12,-0.019951719467999784,-0.3374310593047615,-0.03163103761493413
trend_long,50.0,30.0,FTSE250,2,9,-0.021939290629518493,-0.38649558057934125,-0.04724476203796035
trend_long,50.0,30.0,UK100_ETF,0,9,0.0336250364638675,0.6884985735908333,-0.017273999580277533
trend_long,50.0,30.0,UK100_ETF,1,12,-0.07596507058886948,-1.2303968070925104,-0.0799366401178615
trend_long,50.0,30.0,FTSE250,3,16,-0.062417869565896344,-0.7634041390602981,-0.06477769813887202
trend_long,50.0,30.0,UK100_ETF,2,6,0.001226900612722348,0.040377955258773406,-0.01742303516629584
trend_long,50.0,40.0,UK100,0,11,0.027945098038314464,0.597681411443514,-0.028494849419533064
trend_long,50.0,40.0,UK100,2,7,-0.026958340312998597,-0.7323153008281811,-0.029334136909059283
trend_long,50.0,40.0,UK100,1,14,-0.06438661066784312,-1.1230297838338619,-0.06438661066784312
trend_long,50.0,30.0,UK100_ETF,3,15,-0.01523599306353951,-0.1877972294386703,-0.06286403578680466
trend_long,50.0,40.0,DAX40,0,7,0.004755034010704096,0.146494719456337,-0.032520491703488585
trend_long,50.0,40.0,DAX40,1,9,0.0018404309958270915,0.047028123551496485,-0.03834476184150337
trend_long,50.0,40.0,DAX40,2,6,0.03137966230924505,0.763111779184307,-0.013167048942755666
trend_long,50.0,40.0,UK100,3,16,-0.02352729676120724,-0.3045975719314351,-0.06355610610167017
trend_long,50.0,40.0,DAX40,3,8,0.06586549361915917,1.2027672909631815,-0.01741121661206757
trend_long,50.0,40.0,CAC40,1,9,-0.004071201046022321,-0.07295394326380064,-0.03416270893214579
trend_long,50.0,40.0,CAC40,0,7,0.02300966215256861,0.6570585317747585,-0.028305337367364958
trend_long,50.0,40.0,CAC40,2,5,-0.019740419967208434,-0.839758395933161,-0.02597860001706298
trend_long,50.0,40.0,IBEX35,1,10,-0.04478335383837462,-1.2402008907986575,-0.049364757260831005
trend_long,50.0,40.0,IBEX35,0,12,-0.016658906291984965,-0.3794149965902448,-0.04473168091551549
trend_long,50.0,40.0,IBEX35,2,10,-0.011459201406487263,-0.25257411734857327,-0.03178455396593194
trend_long,50.0,40.0,IBEX35,3,8,0.05234630390647155,0.8980737795989913,-0.023548328806649144
trend_long,50.0,40.0,CAC40,3,18,-0.022412276367807293,-0.2439259783037691,-0.04656218662823586
trend_long,50.0,40.0,FTSE250,0,7,0.02704348064564832,0.7212472509615319,-0.020422576813849624
trend_long,50.0,40.0,FTSE250,1,13,-0.025371578160924724,-0.4469777087275677,-0.03745408084121249
trend_long,50.0,40.0,FTSE250,2,9,-0.021939290629518493,-0.38649558057934125,-0.04724476203796035
