name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,FTSE250,2,22,-0.07805304855504291,-1.0017443857210975,-0.08334894107114432
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,UK100_ETF,0,19,-0.11476381328993535,-1.569414790576305,-0.13172047664036468
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,UK100_ETF,1,17,-0.08578079549643369,-1.260092064033222,-0.08578079549643369
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,IBEX35,3,41,0.09035939108546476,0.5624935923035708,-0.046312680748262225
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,UK100_ETF,2,20,-0.11397696129125812,-1.4644718475438687,-0.11516041131745192
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,FTSE250,3,40,-0.05897878581575278,-0.39858832556223817,-0.06694892347892178
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100,1,35,-0.16824675860588012,-1.9908720147294179,-0.16824675860588012
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100,0,46,-0.10316701662696448,-1.0218853692615195,-0.11719356623805322
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,UK100_ETF,3,40,-0.02192429183503497,-0.14513597621367866,-0.06177966707763127
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100,2,36,-0.11622722961915788,-1.1442003745592748,-0.1275748385280333
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,DAX40,1,29,-0.05593866916150381,-0.5903118132927114,-0.08150293728427027
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,DAX40,0,44,-0.04798294949958781,-0.4084397367446367,-0.1128409427697632
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,DAX40,2,39,-0.10922896604571486,-0.983126579427364,-0.12338027804413865
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100,3,79,-0.10958590572235138,-0.5494141149146312,-0.15925315747752455
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,CAC40,1,35,-0.12660092218694485,-1.2507960774015021,-0.1337346462014315
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,CAC40,0,45,-0.07708438567384401,-0.7643652075120874,-0.1347386154980702
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,CAC40,2,40,-0.1213978244734284,-1.111619637510299,-0.12698907670372572
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,DAX40,3,82,-0.043878213573051106,-0.17503178594022953,-0.11474120092885054
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,IBEX35,0,41,-0.0872090223827372,-0.967537677446812,-0.1235502938575419
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,IBEX35,1,24,-0.09431451741509012,-1.4153775166688967,-0.09865835981592852
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,IBEX35,2,34,-0.11667341665740572,-1.3616466312734024,-0.13526003150426213
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,CAC40,3,76,-0.19239894916358646,-1.1013659539138474,-0.22906407879320434
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,FTSE250,1,32,-0.0991377813904355,-1.0682497637596864,-0.10174400747799794
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,FTSE250,0,43,-0.05681216750833007,-0.507661344238923,-0.0995948250273121
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,FTSE250,2,37,-0.0888449091796949,-0.8704626904961812,-0.094078810565149
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100_ETF,1,32,-0.13989895721710488,-1.6304276182449582,-0.14443086572100716
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100_ETF,0,50,-0.18074206096565448,-1.6636757281423713,-0.18798957061179644
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,IBEX35,3,77,0.10736560984327981,0.47487335884331155,-0.0546810805276029
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,FTSE250,3,68,-0.07943046372635332,-0.39930141703789646,-0.1114848683894557
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100_ETF,2,37,-0.13060022475814126,-1.3376924552746574,-0.13413964694430247
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100,0,52,-0.09575991058738131,-1.0847010826983483,-0.10329606716372253
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100,1,33,-0.1243084008815456,-1.6714531625675608,-0.1243084008815456
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100,2,39,-0.09121948070491837,-1.0258155098656154,-0.11073618144182928
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,UK100_ETF,3,75,-0.05923252132240919,-0.3206079307195024,-0.10900051993840298
composite_T50_C60_noR,False,50.0,60.0,99.0,DAX40,0,43,-0.022325290364067607,-0.20954268548949628,-0.07401880755801704
composite_T50_C60_noR,False,50.0,60.0,99.0,DAX40,1,30,-0.03588521239028686,-0.4541196229710306,-0.05753423152932069
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100,3,92,-0.1045694015371027,-0.5770476463504767,-0.13361012689885676
composite_T50_C60_noR,False,50.0,60.0,99.0,DAX40,2,38,-0.118446278610855,-1.3195582148298335,-0.13245115896643866
composite_T50_C60_noR,False,50.0,60.0,99.0,CAC40,0,44,-0.0472914628823502,-0.49543726129063254,-0.07656412108983457
composite_T50_C60_noR,False,50.0,60.0,99.0,CAC40,1,36,-0.0977087679418468,-1.1008983262081413,-0.0977087679418468
composite_T50_C60_noR,False,50.0,60.0,99.0,CAC40,2,41,-0.09012703450276227,-0.9528202544683151,-0.11177862133420935
composite_T50_C60_noR,False,50.0,60.0,99.0,IBEX35,1,22,-0.06881921114999678,-1.2478256041708828,-0.08150142574707953
composite_T50_C60_noR,False,50.0,60.0,99.0,DAX40,3,94,-0.05342137218169829,-0.2580017401983468,-0.10538055446710615
composite_T50_C60_noR,False,50.0,60.0,99.0,IBEX35,0,41,-0.06952769964891392,-0.8109315400380345,-0.09361933051971871
